id,description,nodes,edges,s_abs,s_rel,c_abs,c_rel
81,O(-c1:c:c:c:c(-c:c:c:c:c:c:c-C):c:1)-C,16,16,13,28.26087,0,0.0
82,O(-c1:c:c:c:c(-c:c:c:c:c:c:c):c:1)-C,15,15,16,34.782608,0,0.0
83,O(-c1:c:c:c:c(-C):c:1)-C,9,9,30,65.21739,0,0.0
84,O(-c1:c:c:c:c:c:1)-C,8,8,31,67.391304,0,0.0
85,O(-c(:c):c:c:c:c-C)-C,9,8,31,67.391304,0,0.0
86,O(-c:c:c:c:c(-C):c)-C,9,8,31,67.391304,0,0.0
87,O=C-c1:c:c:c:c:c:1,8,8,8,17.391304,0,0.0
88,O=c(:c:c(-C):c:c):c:c,9,8,14,30.434782,0,0.0
89,O=c(:c:c:c:c-C):c:c-C,10,9,13,28.26087,0,0.0
90,O=c(:c:c:c:c):c:c-C,9,8,16,34.782608,0,0.0
91,O=c:c:c:c:c:c:c,8,7,14,30.434782,0,0.0
92,O=c:c:c:c:c,6,5,18,39.130436,0,0.0
93,C(-C)-c1:c:c:c:c:c:1,8,8,27,58.695652,0,0.0
94,c(-C)(:c:c-C):c:c:c,8,7,7,15.217391,0,0.0
95,c1(-C):c:c:c:c:c:1,7,7,44,95.652176,0,0.0
96,c(-C)(:c):c:c:c:c-C,8,7,8,17.391304,0,0.0
97,c(-C)(:c):c:c:c:c:c,8,7,14,30.434782,0,0.0
98,c(-C)(:c:c:c:c):c,7,6,46,100.0,0,0.0
99,c(-C):c:c:c:c:c:c,8,7,18,39.130436,0,0.0
100,c(-C):c:c:c:c:c,7,6,46,100.0,0,0.0
101,c(:c:c:c)(:c:c:c):c,8,7,6,13.043478,0,0.0
102,c1:c:c:c:c:c:1,6,6,46,100.0,0,0.0
